Team,R32_prob,R16_prob,QF_prob,SF_prob,Final_prob,Winner_prob
Spain,0.9976,0.842,0.6787,0.5276,0.3965,0.2856
Argentina,0.9913,0.7619,0.5527,0.3747,0.2332,0.1338
France,0.9882,0.7559,0.5412,0.3668,0.2229,0.1247
England,0.9863,0.7354,0.5164,0.3265,0.1911,0.1023
Colombia,0.9808,0.6965,0.4576,0.2764,0.1507,0.0742
Portugal,0.9675,0.6394,0.3756,0.1955,0.0949,0.0418
Ecuador,0.9636,0.6081,0.3481,0.1782,0.0832,0.034
Netherlands,0.964,0.6283,0.3627,0.1884,0.0875,0.0333
Brazil,0.9529,0.5904,0.3177,0.1512,0.0664,0.0255
Croatia,0.9544,0.5939,0.3282,0.1604,0.0674,0.025
Norway,0.952,0.5798,0.3117,0.1468,0.0615,0.0223
Uruguay,0.945,0.5488,0.2865,0.1311,0.0528,0.0204
Germany,0.9102,0.5019,0.2454,0.1051,0.0385,0.0131
Belgium,0.9042,0.4962,0.247,0.0979,0.0347,0.0112
Turkey,0.8971,0.4856,0.2306,0.0962,0.0324,0.0093
Switzerland,0.8807,0.4558,0.1978,0.0752,0.0262,0.0067
Japan,0.8857,0.4698,0.2136,0.083,0.028,0.0066
Morocco,0.8614,0.4106,0.1605,0.0566,0.0162,0.0049
Austria,0.8679,0.4362,0.1826,0.0664,0.0218,0.0045
Mexico,0.8448,0.3988,0.1589,0.0531,0.0152,0.0042
Senegal,0.8591,0.4136,0.1721,0.0579,0.0163,0.0041
Paraguay,0.8276,0.377,0.1473,0.0459,0.0131,0.0032
Canada,0.8242,0.356,0.1303,0.0399,0.0108,0.0028
Korea Republic,0.8247,0.3631,0.1316,0.0442,0.0105,0.0018
Australia,0.7347,0.3099,0.1073,0.0321,0.0065,0.0015
Uzbekistan,0.6625,0.2391,0.0627,0.0151,0.0028,0.0008
Iran,0.6809,0.2521,0.0749,0.0195,0.0035,0.0005
USA,0.6735,0.238,0.0686,0.016,0.0031,0.0005
Scotland,0.6741,0.2438,0.0695,0.0155,0.0035,0.0005
Algeria,0.6601,0.2334,0.0676,0.0149,0.0025,0.0003
Panama,0.6566,0.2249,0.0644,0.0125,0.0027,0.0002
Tunisia,0.3319,0.0746,0.0127,0.0016,0.0002,0.0001
Saudi Arabia,0.2447,0.0411,0.0058,0.0006,0.0001,0.0001
Czech Republic,0.6078,0.1887,0.0425,0.0093,0.0016,0.0001
Sweden,0.4821,0.1079,0.0203,0.0029,0.0004,0.0001
Ivory Coast,0.4796,0.1121,0.0227,0.0031,0.0003,0.0
Congo DR,0.4964,0.1181,0.0211,0.0031,0.0,0.0
Haiti,0.2191,0.0347,0.0036,0.0004,0.0,0.0
Curacao,0.1498,0.0186,0.0021,0.0001,0.0,0.0
Egypt,0.3246,0.0724,0.0096,0.0018,0.0001,0.0
New Zealand,0.2595,0.0478,0.0068,0.0006,0.0,0.0
South Africa,0.2187,0.0374,0.0045,0.0003,0.0,0.0
Iraq,0.2329,0.0399,0.0052,0.0006,0.0,0.0
Jordan,0.5129,0.1321,0.0257,0.0047,0.0009,0.0
Qatar,0.0872,0.006,0.0002,0.0,0.0,0.0
Ghana,0.1513,0.0173,0.0012,0.0001,0.0,0.0
Bosnia and Herzegovina,0.2164,0.0324,0.0027,0.0002,0.0,0.0
Cabo Verde,0.2115,0.0327,0.0035,0.0,0.0,0.0
